Emotion,Suddenness,Goal_relevance,Conduciveness,Power,Urgency,Effort
Boredom,0.05114,0.14402,0.46522,0.46261,0.24693,0.14352
Boredom,0.00652,0.21371,0.89177,0.47754,0.02993,0.15066
Boredom,0.03906,0.12315,0.89789,0.45585,0.29249,0.29822
Boredom,0.05805,0.07635,0.28917,0.58004,0.19152,0.12701
Boredom,0.0687,0.0183,0.01222,0.50208,0.00904,0.176
Boredom,0.04729,0.0737,0.09063,0.57092,0.06159,0.11717
Boredom,0.01021,0.01939,0.01733,0.46072,0.28402,0.22329
Boredom,0.03991,0.07793,0.82242,0.52108,0.04346,0.05932
Boredom,0.05061,0.09335,0.36198,0.51194,0.04987,0.17128
Boredom,0.03439,0.01033,0.83618,0.44202,0.26827,0.08569
Boredom,0.06879,0.05168,0.30926,0.52729,0.26857,0.20258
Boredom,0.01584,0.00137,0.50364,0.47832,0.05224,0.2429
Boredom,0.11033,0.09769,0.80719,0.55957,0.10388,0.17415
Boredom,0.03092,0.20421,0.96251,0.50863,0.21576,0.11627
Boredom,0.01953,0.21759,0.40711,0.48098,0.29697,0.05613
Boredom,0.09068,0.02749,0.33946,0.52235,0.23126,0.03078
Boredom,0.05215,0.13422,0.58207,0.49692,0.28798,0.2804
Boredom,0.00799,0.11892,0.81903,0.52536,0.05773,0.08052
Boredom,0.06007,0.01894,0.06627,0.45177,0.17369,0.00558
Boredom,0.02026,0.03096,0.26216,0.63921,0.2268,0.18844
Boredom,0.11488,0.01192,0.2954,0.60515,0.22418,0.09256
Boredom,0.00139,0.12244,0.70257,0.54448,0.14852,0.25821
Boredom,0.00539,0.15299,0.71169,0.52515,0.13763,0.28752
Boredom,0.01222,0.07255,0.62087,0.42538,0.22672,0.25647
Boredom,0.02968,0.07751,0.78105,0.53694,0.05134,0.22026
Boredom,0.038,0.11258,0.33895,0.5491,0.08416,0.17702
Boredom,0.09041,0.06849,0.88028,0.56734,0.223,0.12312
Boredom,0.11627,0.11785,0.41539,0.53693,0.17332,0.13655
Boredom,0.03345,0.13126,0.6183,0.51449,0.14176,0.29694
Boredom,0.094,0.15959,0.33492,0.42199,0.03139,0.27809
Boredom,0.05288,0.04149,0.82395,0.54718,0.2606,0.29664
Boredom,0.01007,0.17738,0.78923,0.49243,0.27332,0.1142
Boredom,0.00012,0.09736,0.25739,0.55241,0.08902,0.25608
Boredom,0.05944,0.11171,0.98203,0.4959,0.16903,0.28864
Boredom,0.07745,0.03058,0.72753,0.50624,0.21956,0.05731
Boredom,0.00187,0.08311,0.3072,0.46581,0.2707,0.04996
Boredom,0.00128,0.00051,0.01463,0.55866,0.12934,0.05866
Boredom,0.0114,0.13671,0.51976,0.47481,0.11296,0.17204
Boredom,0.00369,0.02601,0.64417,0.51468,0.12126,0.08812
Boredom,0.03874,0.10136,0.60355,0.45711,0.05668,0.04051
Boredom,0.03482,0.1195,0.15107,0.56444,0.08127,0.18081
Boredom,0.02749,0.08085,0.22474,0.52861,0.00769,0.19072
Boredom,0.00442,0.03358,0.66592,0.38227,0.22833,0.11858
Boredom,0.05181,0.17838,0.57465,0.54113,0.03372,0.28986
Boredom,0.04068,0.07286,0.48112,0.56656,0.11266,0.27875
Boredom,0.0059,0.00837,0.28877,0.50042,0.16566,0.16364
Boredom,0.06575,0.19435,0.3606,0.51963,0.21545,0.09263
Boredom,0.02469,0.01871,0.33515,0.52772,0.02611,0.00596
Boredom,0.00337,0.15702,0.69312,0.47903,0.1488,0.08072
Boredom,0.06122,0.00272,0.62742,0.54996,0.188,0.11736
Boredom,0.02892,0.01649,0.54268,0.53264,0.07909,0.149
Boredom,0.03322,0.03306,0.09509,0.51995,0.07038,0.17794
Boredom,0.00799,0.11592,0.78382,0.48638,0.29509,0.1961
Boredom,0.07222,0.14835,0.24084,0.50637,0.0484,0.29528
Boredom,0.04064,0.01366,0.68514,0.47239,0.25479,0.2503
Boredom,0.06349,0.21628,0.09524,0.45045,0.00815,0.06582
Boredom,0.00138,0.08718,0.23623,0.4888,0.25674,0.29029
Boredom,0.06058,0.12104,0.17944,0.50693,0.0587,0.27842
Boredom,0.05144,0.04189,0.63951,0.48035,0.01724,0.27733
Boredom,0.01895,0.0488,0.07281,0.52126,0.28852,0.13519
Boredom,0.05592,0.00375,0.09908,0.34462,0.24097,0.10773
Boredom,0.08374,0.01646,0.91564,0.51268,0.05863,0.15067
Boredom,0.01845,0.01002,0.05224,0.4366,0.20839,0.14522
Boredom,0.02274,0.11261,0.31586,0.47911,0.23957,0.14554
Boredom,0.00764,0.00282,0.87833,0.51154,0.15305,0.02543
Boredom,0.00838,0.09319,0.01851,0.52246,0.1996,0.18375
Boredom,0.01548,0.09031,0.9309,0.47435,0.26904,0.03201
Boredom,0.02321,0.06733,0.59836,0.56872,0.04499,0.28784
Boredom,0.03534,0.03692,0.02341,0.49114,0.05434,0.14506
Boredom,0.00986,0.04966,0.05882,0.51268,0.14875,0.11198
Boredom,0.05293,0.037,0.32347,0.52418,0.17656,0.21226
Boredom,0.03096,0.14268,0.54038,0.43625,0.0837,0.2492
Boredom,0.05994,0.00123,0.02969,0.55433,0.17244,0.20865
Boredom,0.01822,0.00803,0.83875,0.55847,0.01753,0.05147
