Emotion,Suddenness,Goal_relevance,Conduciveness,Power,Urgency,Effort
Anxiety,0.07102,0.48542,0.06136,0.16668,0.90759,0.53484
Anxiety,0.07252,0.48404,0.02006,0.19489,0.86873,0.50567
Anxiety,0.10072,0.52107,0.00054,0.14842,0.97239,0.47932
Anxiety,0.03537,0.51423,0.04015,0.10475,0.85854,0.58073
Anxiety,0.10043,0.43871,0.08249,0.0277,0.902,0.45892
Anxiety,0.05304,0.50456,0.01729,0.03545,0.98469,0.41765
Anxiety,0.19965,0.43684,0.00208,0.03087,0.8175,0.58672
Anxiety,0.01704,0.43918,0.05629,0.00396,0.96239,0.47969
Anxiety,0.00331,0.51261,0.01765,0.2084,0.83998,0.49376
Anxiety,0.10085,0.51275,0.03957,0.15123,0.88344,0.43426
Anxiety,0.00326,0.38929,0.00898,0.13923,0.91124,0.43217
Anxiety,0.11972,0.52924,0.02854,0.0684,0.98266,0.47805
Anxiety,0.06854,0.4861,0.03442,0.03612,0.84068,0.51003
Anxiety,0.15444,0.43039,0.02396,0.00962,0.84076,0.4639
Anxiety,0.25419,0.47989,0.06258,0.13846,0.98582,0.42866
Anxiety,0.03936,0.47236,0.02782,0.05956,0.83796,0.45011
Anxiety,0.02927,0.61022,0.02577,0.11717,0.8135,0.58345
Anxiety,0.11278,0.47974,0.02957,0.04933,0.91194,0.49231
Anxiety,0.04528,0.47886,0.07383,0.09852,0.90681,0.49303
Anxiety,0.05171,0.56817,0.03585,0.00096,0.97376,0.57633
Anxiety,0.05419,0.52812,0.00541,0.10037,0.86072,0.42588
Anxiety,0.01327,0.53659,0.03537,0.0657,0.89899,0.54361
Anxiety,0.06142,0.49097,0.04371,0.09612,0.85494,0.49612
Anxiety,0.04542,0.45296,0.01134,0.14324,0.82624,0.47985
Anxiety,0.03053,0.45414,0.04112,0.09197,0.99099,0.52076
Anxiety,0.0047,0.54411,0.01851,0.04139,0.96814,0.56686
Anxiety,0.07192,0.44117,0.08356,0.01107,0.96807,0.57313
Anxiety,0.07103,0.48726,0.0759,0.00924,0.9415,0.55226
Anxiety,0.00475,0.56185,0.01389,0.01938,0.91081,0.46284
Anxiety,0.05216,0.54543,0.04653,0.03529,0.90597,0.59818
Anxiety,0.12306,0.41009,0.03431,0.02653,0.96484,0.52601
Anxiety,0.20915,0.6466,0.1158,0.00042,0.84362,0.49219
Anxiety,0.04,0.56528,0.06843,0.0049,0.8166,0.48
Anxiety,0.20582,0.48776,0.01219,0.01593,0.85107,0.54622
Anxiety,0.0048,0.45674,0.08757,0.01907,0.94296,0.43693
Anxiety,0.06595,0.41874,0.02693,0.03023,0.88509,0.55586
Anxiety,0.05799,0.51058,0.07075,0.10711,0.92982,0.42753
Anxiety,0.0488,0.49068,0.00495,0.09009,0.92097,0.54231
Anxiety,0.07419,0.47315,0.05835,0.09879,0.90595,0.51867
Anxiety,0.06254,0.53145,0.00215,0.03297,0.88185,0.54511
Anxiety,0.13163,0.50071,0.10382,0.04958,0.87326,0.40212
Anxiety,0.13437,0.53132,0.0334,0.08856,0.93955,0.47728
Anxiety,0.07775,0.4985,0.09958,0.02276,0.92314,0.47242
Anxiety,0.05197,0.43203,0.04848,0.16864,0.80547,0.4149
Anxiety,0.10146,0.45603,0.03675,0.02475,0.87777,0.56402
Anxiety,0.00281,0.5022,0.00403,0.0259,0.80164,0.45518
Anxiety,0.11189,0.5834,0.02289,0.1061,0.95501,0.50757
Anxiety,0.01925,0.52298,0.02858,0.09832,0.88823,0.47925
Anxiety,0.0739,0.50595,0.07831,0.13668,0.89232,0.45047
Anxiety,0.0388,0.45068,0.09619,0.17028,0.92513,0.44407
Anxiety,0.00528,0.47414,0.06281,0.07452,0.97537,0.51743
Anxiety,0.02118,0.51979,0.05199,0.10872,0.8897,0.41975
Anxiety,0.03356,0.49705,0.0154,0.12882,0.87465,0.50732
Anxiety,0.04133,0.52059,0.0005,0.19884,0.9549,0.40541
Anxiety,0.13311,0.50999,0.0956,0.06966,0.86851,0.56104
Anxiety,0.07488,0.49676,0.00256,0.29428,0.84542,0.43167
Anxiety,0.18537,0.52572,0.00635,0.16467,0.98089,0.4309
Anxiety,0.07102,0.47188,0.02517,0.06358,0.95248,0.42719
Anxiety,0.04397,0.45423,0.05728,0.00719,0.81494,0.48215
Anxiety,0.03175,0.52866,0.00187,0.00966,0.97463,0.4544
Anxiety,0.00864,0.51246,0.03316,0.02234,0.83167,0.49871
Anxiety,0.03853,0.45439,0.00812,0.01157,0.86982,0.4137
Anxiety,0.02148,0.49324,0.00933,0.07683,0.87122,0.53864
Anxiety,0.13924,0.52035,0.03386,0.09974,0.95058,0.50441
Anxiety,0.20634,0.5235,0.03084,0.05784,0.8605,0.56774
Anxiety,0.07475,0.50075,0.03075,0.03868,0.80629,0.43782
Anxiety,0.02795,0.54682,0.00137,0.13234,0.97291,0.56808
Anxiety,0.0763,0.43989,0.02748,0.11644,0.84499,0.50801
Anxiety,0.21576,0.50252,0.00827,0.1016,0.94863,0.50786
Anxiety,0.21498,0.47629,0.04531,0.14773,0.81852,0.5093
Anxiety,0.16557,0.58539,0.04379,0.06405,0.95192,0.43623
Anxiety,0.141,0.57972,0.0477,0.05398,0.85649,0.51654
Anxiety,0.0083,0.43232,0.0075,0.0587,0.99147,0.43739
Anxiety,0.14519,0.52438,0.06756,0.07227,0.97976,0.44039
Anxiety,0.02424,0.51414,0.0328,0.09552,0.96817,0.54012
Anxiety,0.07384,0.5238,0.01748,0.18348,0.89871,0.46475
Anxiety,0.05708,0.45286,0.0342,0.0295,0.83709,0.4059
Anxiety,0.04464,0.51203,0.096,0.21826,0.97621,0.57211
Anxiety,0.10499,0.45923,0.03736,0.00926,0.80357,0.57197
Anxiety,0.21582,0.50261,0.00681,0.02111,0.87029,0.53236
Anxiety,0.11597,0.53259,0.08499,0.10999,0.96967,0.57302
Anxiety,0.01598,0.43281,0.00956,0.00676,0.88383,0.57674
Anxiety,0.11848,0.39803,0.00389,0.18579,0.92672,0.5025
Anxiety,0.02977,0.49299,0.03319,0.07735,0.93056,0.45782
Anxiety,0.14915,0.50079,0.021,0.09562,0.92496,0.56984
