C,Story,Emotion,Val
1e-05,Anxiety,Anxiety,0.25
1e-05,Anxiety,Despair,0.25
1e-05,Anxiety,Irritation,0.25
1e-05,Anxiety,Rage,0.25
1e-05,Despair,Anxiety,0.25
1e-05,Despair,Despair,0.25
1e-05,Despair,Irritation,0.25
1e-05,Despair,Rage,0.25
1e-05,Irritation,Anxiety,0.25
1e-05,Irritation,Despair,0.25
1e-05,Irritation,Irritation,0.25
1e-05,Irritation,Rage,0.25
1e-05,Rage,Anxiety,0.25
1e-05,Rage,Despair,0.25
1e-05,Rage,Irritation,0.25
1e-05,Rage,Rage,0.25
1e-05,Anxiety,Anxiety,0.25
1e-05,Anxiety,Despair,0.25
1e-05,Anxiety,Irritation,0.25
1e-05,Anxiety,Rage,0.25
1e-05,Despair,Anxiety,0.25
1e-05,Despair,Despair,0.25
1e-05,Despair,Irritation,0.25
1e-05,Despair,Rage,0.25
1e-05,Irritation,Anxiety,0.25
1e-05,Irritation,Despair,0.25
1e-05,Irritation,Irritation,0.25
1e-05,Irritation,Rage,0.25
1e-05,Rage,Anxiety,0.25
1e-05,Rage,Despair,0.25
1e-05,Rage,Irritation,0.25
1e-05,Rage,Rage,0.25
0.008038436579279797,Anxiety,Anxiety,0.29979254997413557
0.008038436579279797,Anxiety,Despair,0.49459525497018386
0.008038436579279797,Anxiety,Irritation,0.2035095171227177
0.008038436579279797,Anxiety,Rage,0.0021026779329628544
0.008038436579279797,Despair,Anxiety,6.664526624265508e-06
0.008038436579279797,Despair,Despair,0.9986075789788548
0.008038436579279797,Despair,Irritation,0.001184215971609577
0.008038436579279797,Despair,Rage,0.00020154052291143927
0.008038436579279797,Irritation,Anxiety,0.013643217772879999
0.008038436579279797,Irritation,Despair,2.738158744770058e-05
0.008038436579279797,Irritation,Irritation,0.9863210403379075
0.008038436579279797,Irritation,Rage,8.360301765046366e-06
0.008038436579279797,Rage,Anxiety,0.0004315222298438392
0.008038436579279797,Rage,Despair,0.003319218563525525
0.008038436579279797,Rage,Irritation,0.00985735487429949
