"Experiment","Script","Seconds","ExitCode","Stdout","Stderr"
"Exp1_2","01_classifier/01_analyze_human_data.py","3.202","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_01_classifier_01_analyze_human_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_01_classifier_01_analyze_human_data_py.stderr.log"
"Exp1_2","01_classifier/02_classifier.py","5.138","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_01_classifier_02_classifier_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_01_classifier_02_classifier_py.stderr.log"
"Exp1_2","01_classifier/03_determine_classifier_c.py","148.541","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_01_classifier_03_determine_classifier_c_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_01_classifier_03_determine_classifier_c_py.stderr.log"
"Exp1_2","02_mdp_model/01_get_model_data.py","7.156","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_02_mdp_model_01_get_model_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_02_mdp_model_01_get_model_data_py.stderr.log"
"Exp1_2","03_model_infer/01_svm_infer.py","184.044","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_03_model_infer_01_svm_infer_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_03_model_infer_01_svm_infer_py.stderr.log"
"Exp1_2","04_statistical_analysis/Exp1_free_analyse.py","23.35","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_04_statistical_analysis_Exp1_free_analyse_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_04_statistical_analysis_Exp1_free_analyse_py.stderr.log"
"Exp1_2","04_statistical_analysis/Exp2_limit_analyse.py","15.257","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_04_statistical_analysis_Exp2_limit_analyse_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp1_2_04_statistical_analysis_Exp2_limit_analyse_py.stderr.log"
"Exp3","01_classifier/01_analyze_human_data.py","2.147","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_01_classifier_01_analyze_human_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_01_classifier_01_analyze_human_data_py.stderr.log"
"Exp3","01_classifier/02_classifier.py","5.156","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_01_classifier_02_classifier_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_01_classifier_02_classifier_py.stderr.log"
"Exp3","01_classifier/03_determine_classifier_c.py","69.812","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_01_classifier_03_determine_classifier_c_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_01_classifier_03_determine_classifier_c_py.stderr.log"
"Exp3","02_mdp_model/01_get_model_data.py","6.131","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_02_mdp_model_01_get_model_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_02_mdp_model_01_get_model_data_py.stderr.log"
"Exp3","03_model_infer/01_svm_infer.py","77.66","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_03_model_infer_01_svm_infer_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_03_model_infer_01_svm_infer_py.stderr.log"
"Exp3","04_statistical_analysis/Exp3_analyse.py","25.286","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_04_statistical_analysis_Exp3_analyse_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\baseline\Exp3_04_statistical_analysis_Exp3_analyse_py.stderr.log"
