"Experiment","Script","Seconds","ExitCode","Stdout","Stderr"
"Exp1_2","01_classifier/01_analyze_human_data.py","2.174","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_01_classifier_01_analyze_human_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_01_classifier_01_analyze_human_data_py.stderr.log"
"Exp1_2","01_classifier/02_classifier.py","5.133","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_01_classifier_02_classifier_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_01_classifier_02_classifier_py.stderr.log"
"Exp1_2","01_classifier/03_determine_classifier_c.py","854.237","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_01_classifier_03_determine_classifier_c_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_01_classifier_03_determine_classifier_c_py.stderr.log"
"Exp1_2","02_mdp_model/01_get_model_data.py","5.137","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_02_mdp_model_01_get_model_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_02_mdp_model_01_get_model_data_py.stderr.log"
"Exp1_2","03_model_infer/01_svm_infer.py","222.254","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_03_model_infer_01_svm_infer_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_03_model_infer_01_svm_infer_py.stderr.log"
"Exp1_2","04_statistical_analysis/Exp1_free_analyse.py","27.371","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_04_statistical_analysis_Exp1_free_analyse_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_04_statistical_analysis_Exp1_free_analyse_py.stderr.log"
"Exp1_2","04_statistical_analysis/Exp2_limit_analyse.py","18.245","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_04_statistical_analysis_Exp2_limit_analyse_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp1_2_04_statistical_analysis_Exp2_limit_analyse_py.stderr.log"
"Exp3","01_classifier/01_analyze_human_data.py","2.096","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_01_classifier_01_analyze_human_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_01_classifier_01_analyze_human_data_py.stderr.log"
"Exp3","01_classifier/02_classifier.py","3.121","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_01_classifier_02_classifier_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_01_classifier_02_classifier_py.stderr.log"
"Exp3","01_classifier/03_determine_classifier_c.py","186.708","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_01_classifier_03_determine_classifier_c_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_01_classifier_03_determine_classifier_c_py.stderr.log"
"Exp3","02_mdp_model/01_get_model_data.py","4.114","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_02_mdp_model_01_get_model_data_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_02_mdp_model_01_get_model_data_py.stderr.log"
"Exp3","03_model_infer/01_svm_infer.py","72.795","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_03_model_infer_01_svm_infer_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_03_model_infer_01_svm_infer_py.stderr.log"
"Exp3","04_statistical_analysis/Exp3_analyse.py","23.253","0","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_04_statistical_analysis_Exp3_analyse_py.stdout.log","D:\RL_PROJECT_2\Cognitive-Learning\run_logs_effort_ablation\post_change\Exp3_04_statistical_analysis_Exp3_analyse_py.stderr.log"
