Experiment,Script,Seconds,ExitCode,Stdout,Stderr
"Exp1_2","01_classifier/01_analyze_human_data.py","1.42","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_01_classifier_01_analyze_human_data_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_01_classifier_01_analyze_human_data_py.stderr.log"
"Exp1_2","01_classifier/02_classifier.py","2.689","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_01_classifier_02_classifier_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_01_classifier_02_classifier_py.stderr.log"
"Exp1_2","01_classifier/03_determine_classifier_c.py","230.536","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_01_classifier_03_determine_classifier_c_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_01_classifier_03_determine_classifier_c_py.stderr.log"
"Exp1_2","02_mdp_model/01_get_model_data.py","4.195","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_02_mdp_model_01_get_model_data_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_02_mdp_model_01_get_model_data_py.stderr.log"
"Exp1_2","03_model_infer/01_svm_infer.py","138.402","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_03_model_infer_01_svm_infer_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_03_model_infer_01_svm_infer_py.stderr.log"
"Exp1_2","04_statistical_analysis/Exp1_free_analyse.py","11.95","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_04_statistical_analysis_Exp1_free_analyse_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_04_statistical_analysis_Exp1_free_analyse_py.stderr.log"
"Exp1_2","04_statistical_analysis/Exp2_limit_analyse.py","9.764","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_04_statistical_analysis_Exp2_limit_analyse_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp1_2_04_statistical_analysis_Exp2_limit_analyse_py.stderr.log"
"Exp3","01_classifier/01_analyze_human_data.py","1.334","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_01_classifier_01_analyze_human_data_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_01_classifier_01_analyze_human_data_py.stderr.log"
"Exp3","01_classifier/02_classifier.py","2.395","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_01_classifier_02_classifier_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_01_classifier_02_classifier_py.stderr.log"
"Exp3","01_classifier/03_determine_classifier_c.py","108.042","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_01_classifier_03_determine_classifier_c_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_01_classifier_03_determine_classifier_c_py.stderr.log"
"Exp3","02_mdp_model/01_get_model_data.py","3.198","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_02_mdp_model_01_get_model_data_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_02_mdp_model_01_get_model_data_py.stderr.log"
"Exp3","03_model_infer/01_svm_infer.py","43.12","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_03_model_infer_01_svm_infer_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_03_model_infer_01_svm_infer_py.stderr.log"
"Exp3","04_statistical_analysis/Exp3_analyse.py","10.586","0","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_04_statistical_analysis_Exp3_analyse_py.stdout.log","d:\RL_PROJECT_2\Cognitive-Learning\run_logs_experience_postonly\Exp3_04_statistical_analysis_Exp3_analyse_py.stderr.log"
